id,name,status,species,gender,origin
1,Rick Sanchez,Alive,Human,Male,Earth (C-137)
2,Морти Смит,Мёртв,Человек,Мужской,Земля (C-137)
3,Summer Smith,Alive,Human,Female,Earth (Replacement Dimension)
4,Beth Smith,Alive,Human,Female,Earth (Replacement Dimension)
6,Abadango Cluster Princess,Alive,Alien,Female,Abadango
7,Abradolf Lincler,unknown,Human,Male,Earth (Replacement Dimension)
8,Adjudicator Rick,Dead,Human,Male,unknown
9,Agency Director,Dead,Human,Male,Earth (Replacement Dimension)
10,Alan Rails,Dead,Human,Male,unknown
100,Галактический Президент Закссон,Жив,Инопланетянин,Мужской,Штаб-квартира Галактической Федерации
101,Доктор Вортекс Макбрейн,Неизвестно,Киборг,Мужской,Измерение X-42
102,Принцессa Зара из Нексуса-9,Жив,Инопланетянка,Женский,Кластер Нексус-9
11,Albert Einstein,Dead,Human,Male,Earth (C-137)
12,Alexander,Dead,Human,Male,Earth (C-137)
13,Alien Googah,unknown,Alien,unknown,unknown
14,Alien Morty,unknown,Alien,Male,unknown
15,Alien Rick,unknown,Alien,Male,unknown
16,Amish Cyborg,Dead,Alien,Male,unknown
17,Annie,Alive,Human,Female,Earth (C-137)
18,Antenna Morty,Alive,Human,Male,unknown
19,Antenna Rick,unknown,Human,Male,unknown
20,Ants in my Eyes Johnson,unknown,Human,Male,unknown
103,Омега Бот-7,Жив,Робот,Неизвестно,Измерение Схем
